# Synthetic test data - not a real person.
Year,alex_age,sam_age,start,growth_6.5pct,state_pension,Spending,end_balance
2026,60,58,805000,52325,0,42000,815325
2027,61,59,815325,52996,0,42000,826321
2028,62,60,826321,53711,0,42000,838032
2029,63,61,838032,54472,0,42000,850504
2030,64,62,850504,55283,0,42000,863787
2031,65,63,863787,56146,0,42000,877933
2032,66,64,877933,57066,10600,42000,903599
2033,67,65,903599,58734,10600,42000,930933
2034,68,66,930933,60511,21200,42000,970644
2035,69,67,970644,63092,21200,42000,1012936
2036,70,68,1012936,65841,21200,42000,1057977
2037,71,69,1057977,68769,21200,42000,1105946
2038,72,70,1105946,71886,21200,42000,1157032
2039,73,71,1157032,75207,21200,42000,1211439
2040,74,72,1211439,78744,21200,42000,1269383
2041,75,73,1269383,82510,21200,42000,1331093
2042,76,74,1331093,86521,21200,42000,1396814
2043,77,75,1396814,90793,21200,42000,1466807
2044,78,76,1466807,95342,21200,42000,1541349
2045,79,77,1541349,100188,21200,42000,1620737
2046,80,78,1620737,105348,21200,42000,1705285
2047,81,79,1705285,110844,21200,42000,1795329
2048,82,80,1795329,116696,21200,42000,1891225
2049,83,81,1891225,122930,21200,42000,1993355
2050,84,82,1993355,129568,21200,42000,2102123
2051,85,83,2102123,136638,21200,42000,2217961
