# Synthetic test data - not a real person.
year,Age,salary,contrib_401k,employer match,start_bal,growth,Spending,End Balance
2026,41,165000,22500,8250,735000,51450,,817200
2027,42,169950,22500,8498,817200,57204,,905402
2028,43,175048,22500,8752,905402,63378,,1000032
2029,44,180300,22500,9015,1000032,70002,,1101549
2030,45,185709,22500,9285,1101549,77108,,1210442
2031,46,,,,1210442,84731,52000,1243173
2032,47,,,,1243173,87022,52000,1278195
2033,48,,,,1278195,89474,52000,1315669
2034,49,,,,1315669,92097,52000,1355766
2035,50,,,,1355766,94904,52000,1398670
2036,51,,,,1398670,97907,52000,1444577
2037,52,,,,1444577,101120,52000,1493697
2038,53,,,,1493697,104559,52000,1546256
2039,54,,,,1546256,108238,52000,1602494
2040,55,,,,1602494,112175,52000,1662669
2041,56,,,,1662669,116387,52000,1727056
2042,57,,,,1727056,120894,52000,1795950
2043,58,,,,1795950,125717,52000,1869667
2044,59,,,,1869667,130877,52000,1948544
2045,60,,,,1948544,136398,52000,2032942
2046,61,,,,2032942,142306,52000,2123248
2047,62,,,,2123248,148627,52000,2219875
2048,63,,,,2219875,155391,52000,2323266
2049,64,,,,2323266,162629,52000,2433895
2050,65,,,,2433895,170373,52000,2552268
2051,66,,,,2552268,178659,52000,2678927
2052,67,,,,2678927,187525,52000,2814452
2053,68,,,,2814452,197012,52000,2959464
2054,69,,,,2959464,207162,52000,3114626
2055,70,,,,3114626,218024,52000,3280650
2056,71,,,,3280650,229646,52000,3458296
2057,72,,,,3458296,242081,52000,3648377
2058,73,,,,3648377,255386,52000,3851763
2059,74,,,,3851763,269623,52000,4069386
2060,75,,,,4069386,284857,52000,4302243
2061,76,,,,4302243,301157,52000,4551400
2062,77,,,,4551400,318598,52000,4817998
2063,78,,,,4817998,337260,52000,5103258
2064,79,,,,5103258,357228,52000,5408486
2065,80,,,,5408486,378594,52000,5735080
2066,81,,,,5735080,401456,52000,6084536
2067,82,,,,6084536,425918,52000,6458454
2068,83,,,,6458454,452092,52000,6858546
2069,84,,,,6858546,480098,52000,7286644
2070,85,,,,7286644,510065,52000,7744709
2071,86,,,,7744709,542130,52000,8234839
2072,87,,,,8234839,576439,52000,8759278
2073,88,,,,8759278,613149,52000,9320427
2074,89,,,,9320427,652430,52000,9920857
2075,90,,,,9920857,694460,52000,10563317
2076,91,,,,10563317,739432,52000,11250749
2077,92,,,,11250749,787552,52000,11986301
2078,93,,,,11986301,839041,52000,12773342
2079,94,,,,12773342,894134,52000,13615476
2080,95,,,,13615476,953083,52000,14516559
